"","X","Y","Potter","Weasley","Granger","Trip","Close","Far"
"1",4.26022070299265,3.5933908006415,1,0,0,1,0,0
"2",7.74676374551475,6.23959091211799,1,0,0,1,0,0
"3",11.030760130485,9.61821360113184,1,0,0,1,0,0
"4",14.9267474030638,13.1475283487465,1,0,0,1,1,6
"5",17.6703157534644,15.4434370400186,1,0,0,1,0,10
"6",20.8101337430245,17.5817150207387,1,0,0,1,0,0
"7",24.3379059192623,20.4244069472749,1,0,0,1,0,0
"8",26.4911483405732,23.0712337929836,1,0,0,1,0,0
"9",28.0927094204599,27.4345128464325,1,0,0,1,0,1
"10",29.4483263591301,29.0461847350482,1,0,0,1,0,3
"11",32.0204673127867,30.0576734832269,1,0,0,1,0,6
"12",33.8336942623675,31.5391248427791,1,0,0,1,1,7
"13",33.9114514336364,32.9471464505568,1,0,0,1,0,3
"14",35.1690803381192,34.235333696776,1,0,0,1,0,2
"15",37.6257513922587,35.6108589490515,1,0,0,1,0,1
"16",38.8001189901024,35.5074521242021,1,0,0,1,0,0
"17",39.4448197038266,36.378778178858,1,0,0,1,0,0
"18",39.9412008696162,37.3565085697174,1,0,0,1,0,0
"19",40.881928819331,38.2259706264695,1,0,0,1,0,0
"20",42.1475978474699,41.7787819256671,1,0,0,1,0,0
"21",43.3686124272837,42.2419889595153,1,0,0,1,0,0
"22",45.80760103201,43.3099453203802,1,0,0,1,0,0
"23",47.0792036578207,43.859917145158,1,0,0,1,0,0
"24",48.9699578933163,44.6899535758218,1,0,0,1,0,0
"25",52.3860436737641,45.0469791969229,1,0,0,1,0,0
"26",53.1354838719376,45.3737749353833,1,0,0,1,0,0
"27",54.3465570740937,45.203045001918,1,0,0,1,0,0
"28",56.1583179931451,46.4245033186484,1,0,0,1,0,0
"29",56.3828526549145,46.8383175753905,1,0,0,1,0,0
"30",55.362385224354,47.2075564772559,1,0,0,1,0,0
"31",56.9196769440929,46.9027211012977,1,0,0,1,0,0
"32",58.095761796278,47.501369952459,1,0,0,1,0,2
"33",59.2502134010538,48.4294081349925,1,0,0,1,0,9
"34",60.8111684905267,47.3185069806396,1,0,0,1,0,4
"35",59.814246855885,46.3330289349618,1,0,0,1,0,1
"36",60.1651908043852,47.5986708331059,1,0,0,1,1,5
"37",61.5243318157857,46.412868435833,1,0,0,1,0,1
"38",60.3382550928501,46.3991201648717,1,0,0,1,0,1
"39",59.3261438953083,45.5783877298042,1,0,0,1,0,0
"40",59.4133062616995,46.1397192096652,1,0,0,1,0,0
"41",61.0009902315406,46.07285707321,1,0,0,1,0,2
"42",61.4911042255597,46.2462950989317,1,0,0,1,0,2
"43",62.5786186562375,46.4591980389945,1,0,0,1,0,1
"44",62.2329541571993,48.2293526829594,1,0,0,1,0,17
"45",61.3150824884131,48.1072348450456,1,0,0,1,1,16
"46",62.1907934223252,49.9030011851314,1,0,0,1,11,39
"47",62.9498529927887,50.866834357315,1,0,0,1,6,34
"48",63.0641074417111,50.9755134755204,1,0,0,1,7,33
